age,country_code,dob,full_name,image,nation,potential,rating,short_name,value,wage,year
31.0,7,"Apr 10, 1986",V. Kompany,https://cdn.sofifa.org/1x/18/players/139720.png,Belgium,85.0,85.0,V. Kompany,26.0,170.0,14
26.0,7,"Dec 3, 1990",C. Benteke,https://cdn.sofifa.org/1x/18/players/184111.png,Belgium,80.0,79.0,C. Benteke,15.0,75.0,14
24.0,7,"May 13, 1993",R. Lukaku,https://cdn.sofifa.org/1x/18/players/192505.png,Belgium,90.0,86.0,R. Lukaku,59.0,210.0,14
29.0,7,"May 4, 1988",R. Nainggolan,https://cdn.sofifa.org/1x/18/players/178518.png,Belgium,86.0,86.0,R. Nainggolan,42.5,130.0,14
26.0,7,"Jun 28, 1991",K. De Bruyne,https://cdn.sofifa.org/1x/18/players/192985.png,Belgium,92.0,91.0,K. De Bruyne,104.5,395.0,14
28.0,7,"Jan 12, 1989",A. Witsel,https://cdn.sofifa.org/1x/18/players/177413.png,Belgium,82.0,82.0,A. Witsel,0.0,0.0,14
25.0,7,"May 11, 1992",T. Courtois,https://cdn.sofifa.org/1x/18/players/192119.png,Belgium,92.0,89.0,T. Courtois,59.0,190.0,14
29.0,7,"Oct 5, 1987",K. Mirallas,https://cdn.sofifa.org/1x/18/players/172175.png,Belgium,79.0,79.0,K. Mirallas,12.5,1.0,14
29.0,7,"Jul 16, 1987",M. Dembélé,https://cdn.sofifa.org/1x/18/players/162240.png,Belgium,84.0,84.0,M. Dembélé,30.0,150.0,14
29.0,7,"Nov 22, 1987",M. Fellaini,https://cdn.sofifa.org/1x/18/players/176944.png,Belgium,79.0,79.0,M. Fellaini,12.0,140.0,14
32.0,7,"Jan 1, 1983",P. Monteyne,https://cdn.sofifa.org/1x/16/players/49920.png,Belgium,65.0,65.0,P. Monteyne,300.0,5.0,10
27.0,7,"Oct 8, 1989",S. Wuytens,https://cdn.sofifa.org/1x/18/players/188416.png,Belgium,73.0,73.0,S. Wuytens,3.4,11.0,10
35.0,7,"Feb 7, 1978",D. Van Buyten,https://cdn.sofifa.org/1x/14/players/16897.png,Belgium,78.0,78.0,D. Van Buyten,1.2,80.0,10
34.0,7,"Jun 16, 1976",G. Englebert,https://cdn.sofifa.org/1x/11/players/19713.png,Belgium,69.0,65.0,G. Englebert,0.0,0.0,10
30.0,7,"Sep 13, 1986",S. Colpaert,https://cdn.sofifa.org/1x/18/players/162821.png,Belgium,67.0,67.0,S. Colpaert,575.0,8.0,10
28.0,7,"Jan 12, 1989",A. Witsel,https://cdn.sofifa.org/1x/18/players/177413.png,Belgium,82.0,82.0,A. Witsel,0.0,0.0,10
29.0,7,"May 27, 1988",D. Odoi,https://cdn.sofifa.org/1x/18/players/185349.png,Belgium,69.0,69.0,D. Odoi,825.0,24.0,10
32.0,7,"Feb 25, 1978",L. Van Nieuwenhuyze,https://cdn.sofifa.org/1x/11/players/151816.png,Belgium,67.0,66.0,L. Van Nieuwenhuyze,1.0,0.0,10
28.0,7,"Mar 22, 1989",J. Vossen,https://cdn.sofifa.org/1x/18/players/176137.png,Belgium,74.0,74.0,J. Vossen,6.0,25.0,10
36.0,7,"Feb 16, 1981",O. Deschacht,https://cdn.sofifa.org/1x/18/players/49161.png,Belgium,71.0,71.0,O. Deschacht,325.0,10.0,10
32.0,7,"May 12, 1983",I. de Camargo,https://cdn.sofifa.org/1x/16/players/49674.png,Belgium,71.0,71.0,I. De Camargo,1.3,25.0,10
31.0,10,"Sep 9, 1985",L. Modrić,https://cdn.sofifa.org/1x/18/players/177003.png,Croatia,89.0,89.0,L. Modrić,57.0,340.0,18
29.0,10,"Mar 10, 1988",I. Rakitić,https://cdn.sofifa.org/1x/18/players/168651.png,Croatia,86.0,86.0,I. Rakitić,42.5,275.0,18
28.0,10,"Feb 2, 1989",I. Perišić,https://cdn.sofifa.org/1x/18/players/181458.png,Croatia,85.0,85.0,I. Perišić,39.0,110.0,18
23.0,10,"May 6, 1994",M. Kovačić,https://cdn.sofifa.org/1x/18/players/207410.png,Croatia,88.0,82.0,M. Kovačić,30.0,150.0,18
31.0,10,"May 21, 1986",M. Mandžukić,https://cdn.sofifa.org/1x/18/players/181783.png,Croatia,83.0,83.0,M. Mandžukić,23.5,135.0,18
24.0,10,"Nov 16, 1992",M. Brozović,https://cdn.sofifa.org/1x/18/players/216352.png,Croatia,82.0,80.0,M. Brozović,18.0,64.0,18
26.0,10,"Jun 19, 1991",A. Kramarić,https://cdn.sofifa.org/1x/18/players/216354.png,Croatia,83.0,81.0,A. Kramarić,22.0,50.0,18
32.0,10,"Oct 27, 1984",D. Subašić,https://cdn.sofifa.org/1x/18/players/192593.png,Croatia,84.0,84.0,D. Subašić,18.0,46.0,18
25.0,10,"Jan 10, 1992",S. Vrsaljko,https://cdn.sofifa.org/1x/18/players/203890.png,Croatia,83.0,80.0,S. Vrsaljko,15.5,54.0,18
31.0,10,"Feb 5, 1986",V. Ćorluka,https://cdn.sofifa.org/1x/18/players/181786.png,Croatia,82.0,82.0,V. Ćorluka,15.0,54.0,18
29.0,10,"Jan 5, 1988",N. Kalinić,https://cdn.sofifa.org/1x/18/players/185431.png,Croatia,79.0,79.0,N. Kalinić,12.5,84.0,18
31.0,10,"Sep 9, 1985",L. Modrić,https://cdn.sofifa.org/1x/18/players/177003.png,Croatia,89.0,89.0,L. Modrić,57.0,340.0,14
29.0,10,"Mar 10, 1988",I. Rakitić,https://cdn.sofifa.org/1x/18/players/168651.png,Croatia,86.0,86.0,I. Rakitić,42.5,275.0,14
31.0,10,"May 21, 1986",M. Mandžukić,https://cdn.sofifa.org/1x/18/players/181783.png,Croatia,83.0,83.0,M. Mandžukić,23.5,135.0,14
27.0,10,"Jul 5, 1989",D. Lovren,https://cdn.sofifa.org/1x/18/players/195086.png,Croatia,82.0,80.0,D. Lovren,14.5,110.0,14
23.0,10,"May 6, 1994",M. Kovačić,https://cdn.sofifa.org/1x/18/players/207410.png,Croatia,88.0,82.0,M. Kovačić,30.0,150.0,14
28.0,10,"Feb 25, 1989",M. Badelj,https://cdn.sofifa.org/1x/18/players/201144.png,Croatia,79.0,79.0,M. Badelj,10.0,71.0,14
28.0,10,"Feb 2, 1989",I. Perišić,https://cdn.sofifa.org/1x/18/players/181458.png,Croatia,85.0,85.0,I. Perišić,39.0,110.0,14
31.0,10,"Feb 5, 1986",V. Ćorluka,https://cdn.sofifa.org/1x/18/players/181786.png,Croatia,82.0,82.0,V. Ćorluka,15.0,54.0,14
27.0,10,"Aug 5, 1989",G. Sertic,https://cdn.sofifa.org/1x/18/players/190502.png,France,74.0,74.0,G. Sertic,4.7,25.0,14
35.0,10,"May 1, 1982",D. Srna,https://cdn.sofifa.org/1x/18/players/139997.png,Croatia,81.0,81.0,D. Srna,3.8,1.0,14
29.0,10,"Aug 27, 1985",N. Jelavić,https://cdn.sofifa.org/1x/16/players/182763.png,Croatia,73.0,73.0,N. Jelavić,2.8,40.0,14
27.0,10,"Aug 22, 1987",J. Tadić,https://cdn.sofifa.org/1x/16/players/167430.png,Croatia,63.0,63.0,J. Tadic,350.0,6.0,10
18.0,10,"Oct 16, 1990",S. Rožman,https://cdn.sofifa.org/1x/11/players/198410.png,Croatia,68.0,53.0,S. Rožman,0.0,0.0,10
33.0,10,"Jun 8, 1977",H. Vejić,https://cdn.sofifa.org/1x/11/players/173580.png,Croatia,1.0,70.0,H. Vejić,72.0,0.0,10
27.0,10,"Jul 5, 1989",D. Lovren,https://cdn.sofifa.org/1x/18/players/195086.png,Croatia,82.0,80.0,D. Lovren,14.5,110.0,10
31.0,10,"Feb 26, 1981",T. Dujmović,https://cdn.sofifa.org/1x/13/players/187151.png,Croatia,67.0,67.0,T. Dujmovic,0.0,0.0,10
29.0,10,"Jun 18, 1986",A. Rukavina,https://cdn.sofifa.org/1x/16/players/181782.png,Croatia,66.0,66.0,A. Rukavina,600.0,1.0,10
29.0,10,"Mar 18, 1985",G. Schildenfeld,https://cdn.sofifa.org/1x/15/players/186902.png,Croatia,74.0,74.0,G. Schildenfeld,2.7,30.0,10
31.0,10,"May 21, 1986",M. Mandžukić,https://cdn.sofifa.org/1x/18/players/181783.png,Croatia,83.0,83.0,M. Mandžukič,23.5,135.0,10
29.0,10,"Apr 4, 1986",K. Ipša,https://cdn.sofifa.org/1x/16/players/181785.png,Croatia,65.0,65.0,K. Ipša,400.0,1.0,10
31.0,10,"Feb 5, 1986",V. Ćorluka,https://cdn.sofifa.org/1x/18/players/181786.png,Croatia,82.0,82.0,V. Ćorluka,15.0,54.0,10
31.0,10,"Oct 3, 1980",I. Turina,https://cdn.sofifa.org/1x/13/players/190237.png,Croatia,72.0,72.0,I. Turina,0.0,0.0,10
25.0,13,"Feb 14, 1992",C. Eriksen,https://cdn.sofifa.org/1x/18/players/190460.png,Denmark,91.0,88.0,C. Eriksen,74.5,210.0,18
21.0,13,"Apr 10, 1996",A. Christensen,https://cdn.sofifa.org/1x/18/players/213661.png,Denmark,90.0,82.0,A. Christensen,28.5,93.0,18
28.0,13,"May 31, 1989",D. Wass,https://cdn.sofifa.org/1x/18/players/172522.png,Denmark,81.0,81.0,D. Wass,17.5,33.0,18
30.0,13,"Nov 5, 1986",K. Schmeichel,https://cdn.sofifa.org/1x/18/players/163587.png,Denmark,82.0,82.0,K. Schmeichel,14.0,65.0,18
26.0,13,"Jan 15, 1991",N. Jørgensen,https://cdn.sofifa.org/1x/18/players/199852.png,Denmark,1.0,77.0,N. Jørgensen,78.0,1.0,18
19.0,13,"Oct 6, 1997",K. Dolberg,https://cdn.sofifa.org/1x/18/players/228687.png,Denmark,85.0,76.0,K. Dolberg,11.5,10.0,18
28.0,13,"Mar 26, 1989",S. Kjær,https://cdn.sofifa.org/1x/18/players/179645.png,Denmark,79.0,78.0,S. Kjær,9.5,19.0,18
25.0,13,"Sep 3, 1991",T. Delaney,https://cdn.sofifa.org/1x/18/players/193283.png,Denmark,81.0,78.0,T. Delaney,13.0,30.0,18
22.0,13,"Feb 4, 1995",P. Sisto,https://cdn.sofifa.org/1x/18/players/212196.png,Denmark,84.0,77.0,P. Sisto,12.5,26.0,18
22.0,13,"Sep 13, 1994",L. Andersen,https://cdn.sofifa.org/1x/18/players/203903.png,Denmark,1.0,76.0,L. Andersen,82.0,2.0,18
24.0,13,"Aug 3, 1992",J. Vestergaard,https://cdn.sofifa.org/1x/18/players/202849.png,Denmark,82.0,79.0,J. Vestergaard,13.5,36.0,18
25.0,13,"Feb 14, 1992",C. Eriksen,https://cdn.sofifa.org/1x/18/players/190460.png,Denmark,91.0,88.0,C. Eriksen,74.5,210.0,14
30.0,13,"Dec 12, 1984",D. Agger,https://cdn.sofifa.org/1x/16/players/152039.png,Denmark,77.0,77.0,D. Agger,0.0,0.0,14
23.0,13,"Jun 9, 1994",V. Fischer,https://cdn.sofifa.org/1x/18/players/203965.png,Denmark,81.0,75.0,V. Fischer,9.0,19.0,14
28.0,13,"Mar 26, 1989",S. Kjær,https://cdn.sofifa.org/1x/18/players/179645.png,Denmark,79.0,78.0,S. Kjær,9.5,19.0,14
26.0,13,"Jun 5, 1991",M. Braithwaite,https://cdn.sofifa.org/1x/18/players/193290.png,Denmark,78.0,75.0,M. Braithwaite,8.5,19.0,14
29.0,13,"Jan 16, 1988",N. Bendtner,https://cdn.sofifa.org/1x/18/players/167706.png,Denmark,74.0,74.0,N. Bendtner,5.5,10.0,14
25.0,13,"Apr 14, 1992",F. Sørensen,https://cdn.sofifa.org/1x/18/players/201342.png,Denmark,80.0,76.0,F. Sørensen,8.5,33.0,14
24.0,13,"Aug 11, 1992",J. Okore,https://cdn.sofifa.org/1x/18/players/204163.png,Denmark,76.0,72.0,J. Okore,3.4,9.0,14
22.0,13,"Sep 13, 1994",L. Andersen,https://cdn.sofifa.org/1x/18/players/203903.png,Denmark,1.0,76.0,L. Andersen,82.0,2.0,14
24.0,13,"Aug 3, 1992",J. Vestergaard,https://cdn.sofifa.org/1x/18/players/202849.png,Denmark,82.0,79.0,J. Vestergaard,13.5,36.0,14
24.0,13,"Mar 16, 1993",A. Cornelius,https://cdn.sofifa.org/1x/18/players/201943.png,Denmark,79.0,74.0,A. Cornelius,7.5,25.0,14
25.0,13,"Sep 7, 1985",B. Fetai,https://cdn.sofifa.org/1x/12/players/151552.png,FYR Macedonia,63.0,61.0,B. Fetai,0.0,0.0,10
32.0,13,"Oct 7, 1984",S. Poulsen,https://cdn.sofifa.org/1x/18/players/152065.png,Denmark,63.0,63.0,S. Poulsen,200.0,3.0,10
21.0,13,"Apr 19, 1988",K. Lassen,https://cdn.sofifa.org/1x/11/players/193282.png,Denmark,60.0,41.0,K. Lassen,0.0,0.0,10
30.0,13,"Nov 5, 1986",K. Schmeichel,https://cdn.sofifa.org/1x/18/players/163587.png,Denmark,82.0,82.0,K. Schmeichel,14.0,65.0,10
25.0,13,"Sep 3, 1991",T. Delaney,https://cdn.sofifa.org/1x/18/players/193283.png,Denmark,81.0,78.0,T. Delaney,13.0,30.0,10
32.0,13,"Feb 1, 1985",D. Ousted,https://cdn.sofifa.org/1x/18/players/162052.png,Denmark,73.0,73.0,D. Ousted Hansen,2.3,7.0,10
28.0,13,"Jul 16, 1988",A. Randrup,https://cdn.sofifa.org/1x/18/players/172549.png,Denmark,63.0,63.0,A. Randrup,290.0,1.0,10
34.0,13,"May 23, 1983",K. Stuhr-Ellegaard,https://cdn.sofifa.org/1x/18/players/138247.png,Denmark,72.0,72.0,K. Stuhr-Ellegaard,1.3,4.0,10
27.0,13,"Oct 23, 1988",N. Agger,https://cdn.sofifa.org/1x/17/players/172551.png,Denmark,61.0,61.0,N. Agger,240.0,2.0,10
33.0,13,"Feb 28, 1976",U. Laursen,https://cdn.sofifa.org/1x/11/players/6408.png,Denmark,75.0,66.0,U. Laursen,0.0,0.0,10
34.0,13,"Jun 6, 1983",M. Krohn-Dehli,https://cdn.sofifa.org/1x/18/players/159240.png,Denmark,77.0,77.0,M. Krohn-Dehli,4.5,27.0,10
23.0,14,"Jul 28, 1993",H. Kane,https://cdn.sofifa.org/1x/18/players/202126.png,England,91.0,88.0,H. Kane,76.5,210.0,18
21.0,14,"Apr 11, 1996",D. Alli,https://cdn.sofifa.org/1x/18/players/211117.png,England,90.0,84.0,D. Alli,43.0,115.0,18
22.0,14,"Dec 8, 1994",R. Sterling,https://cdn.sofifa.org/1x/18/players/202652.png,England,1.0,85.0,R. Sterling,88.0,49.0,18
19.0,14,"Oct 31, 1997",M. Rashford,https://cdn.sofifa.org/1x/18/players/231677.png,England,90.0,81.0,M. Rashford,26.5,74.0,18
27.0,14,"May 28, 1990",K. Walker,https://cdn.sofifa.org/1x/18/players/188377.png,England,85.0,84.0,K. Walker,29.0,170.0,18
27.0,14,"Sep 1, 1989",D. Sturridge,https://cdn.sofifa.org/1x/18/players/171833.png,England,81.0,81.0,D. Sturridge,19.0,130.0,18
23.0,14,"Jan 15, 1994",E. Dier,https://cdn.sofifa.org/1x/18/players/202335.png,England,85.0,81.0,E. Dier,19.5,79.0,18
23.0,14,"Dec 5, 1993",R. Barkley,https://cdn.sofifa.org/1x/18/players/199189.png,England,83.0,80.0,R. Barkley,19.0,110.0,18
25.0,14,"Jan 1, 1992",J. Wilshere,https://cdn.sofifa.org/1x/18/players/189461.png,England,83.0,81.0,J. Wilshere,21.5,115.0,18
29.0,14,"May 10, 1988",A. Lallana,https://cdn.sofifa.org/1x/18/players/180819.png,England,82.0,82.0,A. Lallana,21.5,135.0,18
24.0,14,"Jan 11, 1993",M. Keane,https://cdn.sofifa.org/1x/18/players/207599.png,England,83.0,80.0,M. Keane,16.0,91.0,18
31.0,14,"Oct 24, 1985",W. Rooney,https://cdn.sofifa.org/1x/18/players/54050.png,England,81.0,81.0,W. Rooney,15.5,120.0,14
25.0,14,"Jan 1, 1992",J. Wilshere,https://cdn.sofifa.org/1x/18/players/189461.png,England,83.0,81.0,J. Wilshere,21.5,115.0,14
27.0,14,"Sep 1, 1989",D. Sturridge,https://cdn.sofifa.org/1x/18/players/171833.png,England,81.0,81.0,D. Sturridge,19.0,130.0,14
28.0,14,"Mar 16, 1989",T. Walcott,https://cdn.sofifa.org/1x/18/players/164859.png,England,79.0,79.0,T. Walcott,12.5,125.0,14
26.0,14,"Nov 26, 1990",D. Welbeck,https://cdn.sofifa.org/1x/18/players/186146.png,England,80.0,79.0,D. Welbeck,15.0,130.0,14
25.0,14,"Feb 21, 1992",P. Jones,https://cdn.sofifa.org/1x/18/players/194957.png,England,81.0,80.0,P. Jones,14.5,115.0,14
23.0,14,"Dec 5, 1993",R. Barkley,https://cdn.sofifa.org/1x/18/players/199189.png,England,83.0,80.0,R. Barkley,19.0,110.0,14
29.0,14,"May 10, 1988",A. Lallana,https://cdn.sofifa.org/1x/18/players/180819.png,England,82.0,82.0,A. Lallana,21.5,135.0,14
23.0,14,"Aug 15, 1993",A. Oxlade-Chamberlain,https://cdn.sofifa.org/1x/18/players/198784.png,England,85.0,81.0,A. Oxlade-Chamberlain,23.0,105.0,14
32.0,14,"Dec 11, 1984",L. Baines,https://cdn.sofifa.org/1x/18/players/163631.png,England,80.0,80.0,L. Baines,8.0,110.0,14
25.0,14,"Jul 16, 1991",A. Townsend,https://cdn.sofifa.org/1x/18/players/194932.png,England,79.0,78.0,A. Townsend,12.5,55.0,14
35.0,14,"Jan 7, 1982",P. Robinson,https://cdn.sofifa.org/1x/18/players/163584.png,England,64.0,64.0,P. Robinson,110.0,2.0,10
27.0,14,"Sep 23, 1984",D. Foster,https://cdn.sofifa.org/1x/13/players/181504.png,England,60.0,59.0,D. Foster,0.0,0.0,10
36.0,14,"Nov 21, 1979",D. Butterfield,https://cdn.sofifa.org/1x/17/players/53504.png,England,61.0,61.0,D. Butterfield,0.0,1.0,10
27.0,14,"Jul 8, 1989",J. Akinde,https://cdn.sofifa.org/1x/18/players/186112.png,England,64.0,64.0,J. Akinde,475.0,5.0,10
19.0,14,"Jun 7, 1990",J. Knowles,https://cdn.sofifa.org/1x/11/players/193536.png,England,54.0,49.0,J. Knowles,6.0,0.0,10
18.0,14,"Dec 18, 1991",D. Purvis,https://cdn.sofifa.org/1x/11/players/197889.png,England,56.0,48.0,D. Purvis,0.0,0.0,10
28.0,14,"Oct 10, 1986",L. Wilson,https://cdn.sofifa.org/1x/16/players/160769.png,England,61.0,61.0,L. Wilson,170.0,2.0,10
21.0,14,"Jul 17, 1989",L. Potter,https://cdn.sofifa.org/1x/12/players/173825.png,England,1.0,59.0,L. Potter,66.0,0.0,10
29.0,14,"Mar 1, 1984",D. Murphy,https://cdn.sofifa.org/1x/14/players/52737.png,England,69.0,69.0,D. Murphy,450.0,10.0,10
33.0,14,"Oct 12, 1979",D. Cadamarteri,https://cdn.sofifa.org/1x/14/players/53505.png,England,59.0,59.0,D. Cadamarteri,0.0,0.0,10
24.0,14,"Jul 18, 1988",N. Liversedge,https://cdn.sofifa.org/1x/14/players/188673.png,England,64.0,56.0,N. Liversidge,0.0,0.0,10
26.0,18,"Mar 21, 1991",A. Griezmann,https://cdn.sofifa.org/1x/18/players/194765.png,France,89.0,88.0,A. Griezmann,71.0,150.0,18
24.0,18,"Mar 15, 1993",P. Pogba,https://cdn.sofifa.org/1x/18/players/195864.png,France,92.0,88.0,P. Pogba,76.0,250.0,18
26.0,18,"Mar 29, 1991",N. Kanté,https://cdn.sofifa.org/1x/18/players/215914.png,France,90.0,88.0,N. Kanté,59.5,245.0,18
26.0,18,"May 28, 1991",A. Lacazette,https://cdn.sofifa.org/1x/18/players/193301.png,France,87.0,84.0,A. Lacazette,39.5,180.0,18
24.0,18,"Apr 25, 1993",R. Varane,https://cdn.sofifa.org/1x/18/players/201535.png,France,92.0,85.0,R. Varane,46.5,175.0,18
29.0,18,"Dec 19, 1987",K. Benzema,https://cdn.sofifa.org/1x/18/players/165153.png,France,85.0,85.0,K. Benzema,38.5,250.0,18
18.0,18,"Dec 20, 1998",K. Mbappé,https://cdn.sofifa.org/1x/18/players/231747.png,France,94.0,84.0,K. Mbappé,47.0,41.0,18
20.0,18,"May 15, 1997",O. Dembélé,https://cdn.sofifa.org/1x/18/players/231443.png,France,92.0,83.0,O. Dembélé,40.0,150.0,18
30.0,18,"Dec 26, 1986",H. Lloris,https://cdn.sofifa.org/1x/18/players/167948.png,France,88.0,88.0,H. Lloris,38.0,165.0,18
21.0,18,"Nov 12, 1995",T. Lemar,https://cdn.sofifa.org/1x/18/players/213565.png,France,1.0,83.0,T. Lemar,89.0,1.0,18
23.0,18,"Jul 18, 1993",N. Fekir,https://cdn.sofifa.org/1x/18/players/216594.png,France,88.0,84.0,N. Fekir,40.5,92.0,18
34.0,18,"Apr 7, 1983",F. Ribéry,https://cdn.sofifa.org/1x/18/players/156616.png,France,85.0,85.0,F. Ribéry,19.5,150.0,14
29.0,18,"Dec 19, 1987",K. Benzema,https://cdn.sofifa.org/1x/18/players/165153.png,France,85.0,85.0,K. Benzema,38.5,250.0,14
24.0,18,"Mar 15, 1993",P. Pogba,https://cdn.sofifa.org/1x/18/players/195864.png,France,92.0,88.0,P. Pogba,76.0,250.0,14
30.0,18,"Jun 26, 1987",S. Nasri,https://cdn.sofifa.org/1x/18/players/165239.png,France,80.0,80.0,S. Nasri,14.0,27.0,14
26.0,18,"Jan 7, 1991",C. Grenier,https://cdn.sofifa.org/1x/18/players/187924.png,France,75.0,74.0,C. Grenier,6.5,23.0,14
26.0,18,"Mar 21, 1991",A. Griezmann,https://cdn.sofifa.org/1x/18/players/194765.png,France,89.0,88.0,A. Griezmann,71.0,150.0,14
24.0,18,"Apr 25, 1993",R. Varane,https://cdn.sofifa.org/1x/18/players/201535.png,France,92.0,85.0,R. Varane,46.5,175.0,14
26.0,18,"Feb 13, 1991",E. Mangala,https://cdn.sofifa.org/1x/18/players/190531.png,France,80.0,78.0,E. Mangala,10.5,100.0,14
31.0,18,"Jan 14, 1986",Y. Cabaye,https://cdn.sofifa.org/1x/18/players/167943.png,France,78.0,78.0,Y. Cabaye,9.0,58.0,14
27.0,18,"Mar 8, 1990",R. Cabella,https://cdn.sofifa.org/1x/18/players/193476.png,France,77.0,77.0,R. Cabella,9.5,32.0,14
29.0,18,"Apr 28, 1988",J. Biabiany,https://cdn.sofifa.org/1x/18/players/184312.png,France,75.0,75.0,J. Biabiany,6.5,1.0,14
37.0,18,"Jul 13, 1974",R. Le Crom,https://cdn.sofifa.org/1x/13/players/4864.png,France,67.0,67.0,R. Le Crom,0.0,0.0,10
29.0,18,"Jul 21, 1983",I. Bouzid,https://cdn.sofifa.org/1x/14/players/140544.png,Algeria,62.0,62.0,I. Bouzid,150.0,5.0,10
33.0,18,"Aug 5, 1983",J. Sorbon,https://cdn.sofifa.org/1x/18/players/167936.png,France,74.0,74.0,J. Sorbon,2.3,21.0,10
33.0,18,"Sep 29, 1981",J. Cardy,https://cdn.sofifa.org/1x/16/players/112384.png,France,64.0,64.0,J. Cardy,190.0,3.0,10
35.0,18,"Apr 9, 1979",P. Luccin,https://cdn.sofifa.org/1x/15/players/4353.png,France,63.0,63.0,P. Luccin,0.0,0.0,10
28.0,18,"May 14, 1983",M. Valverde,https://cdn.sofifa.org/1x/12/players/138753.png,France,72.0,71.0,M. Valverde,0.0,0.0,10
29.0,18,"Jul 11, 1984",S. Renouard,https://cdn.sofifa.org/1x/15/players/140545.png,France,62.0,62.0,S. Renouard,325.0,5.0,10
29.0,18,"Apr 16, 1987",H. Habibou,https://cdn.sofifa.org/1x/17/players/178177.png,Central African Rep.,71.0,71.0,M. Habibou,1.6,5.0,10
30.0,18,"Jul 19, 1986",D. Zurutuza,https://cdn.sofifa.org/1x/18/players/172290.png,France,79.0,79.0,Zurutuza,11.5,37.0,10
24.0,18,"Jun 18, 1985",B. Ndzomo,https://cdn.sofifa.org/1x/11/players/193026.png,France,71.0,60.0,B. Ndzomo,0.0,0.0,10
35.0,18,"Jan 17, 1976",Y. Lachor,https://cdn.sofifa.org/1x/12/players/4867.png,France,4.0,66.0,Y. Lachor,66.0,9.0,10
27.0,21,"Jan 4, 1990",T. Kroos,https://cdn.sofifa.org/1x/18/players/182521.png,Germany,90.0,90.0,T. Kroos,79.0,340.0,18
31.0,21,"Mar 27, 1986",M. Neuer,https://cdn.sofifa.org/1x/18/players/167495.png,Germany,92.0,92.0,M. Neuer,61.0,230.0,18
28.0,21,"Oct 15, 1988",M. Özil,https://cdn.sofifa.org/1x/18/players/176635.png,Germany,87.0,87.0,M. Özil,51.0,205.0,18
28.0,21,"Sep 3, 1988",J. Boateng,https://cdn.sofifa.org/1x/18/players/183907.png,Germany,87.0,87.0,J. Boateng,41.0,165.0,18
28.0,21,"Dec 16, 1988",M. Hummels,https://cdn.sofifa.org/1x/18/players/178603.png,Germany,90.0,90.0,M. Hummels,62.5,215.0,18
27.0,21,"Sep 13, 1989",T. Müller,https://cdn.sofifa.org/1x/18/players/189596.png,Germany,86.0,86.0,T. Müller,47.5,190.0,18
28.0,21,"May 31, 1989",M. Reus,https://cdn.sofifa.org/1x/18/players/188350.png,Germany,85.0,85.0,M. Reus,39.0,98.0,18
26.0,21,"Oct 24, 1990",I. Gündoğan,https://cdn.sofifa.org/1x/18/players/186942.png,Germany,86.0,85.0,I. Gündoğan,44.5,190.0,18
25.0,21,"Apr 30, 1992",M. ter Stegen,https://cdn.sofifa.org/1x/18/players/192448.png,Germany,90.0,87.0,M. ter Stegen,44.5,185.0,18
23.0,21,"Sep 20, 1993",J. Draxler,https://cdn.sofifa.org/1x/18/players/202166.png,Germany,87.0,84.0,J. Draxler,39.5,120.0,18
21.0,21,"Jan 11, 1996",L. Sané,https://cdn.sofifa.org/1x/18/players/222492.png,Germany,1.0,85.0,L. Sané,92.0,54.5,18
